table,column,min,max
call_center,cc_hours,NA,NA
call_center,cc_manager,NA,NA
call_center,cc_mkt_id,2,6
call_center,cc_mkt_class,NA,NA
call_center,cc_mkt_desc,NA,NA
call_center,cc_market_manager,NA,NA
call_center,cc_division,1,6
call_center,cc_division_name,NA,NA
call_center,cc_company,1,6
call_center,cc_company_name,NA,NA
call_center,cc_street_number,406,984
call_center,cc_street_name,NA,NA
call_center,cc_street_type,NA,NA
call_center,cc_suite_number,NA,NA
call_center,cc_city,NA,NA
call_center,cc_county,NA,NA
call_center,cc_state,NA,NA
call_center,cc_zip,31904,59231
call_center,cc_country,NA,NA
call_center,cc_gmt_offset,-6.00,-5.00
call_center,cc_tax_percentage,0.00,0.12
web_sales,ws_warehouse_sk,1.0,10.0
web_sales,ws_ship_mode_sk,1.0,20.0
web_sales,ws_web_site_sk,1.0,42.0
web_sales,ws_quantity,1.0,100.0
web_sales,ws_web_page_sk,1.0,200.0
web_sales,ws_wholesale_cost,1.0,100.0
web_sales,ws_ext_discount_amt,0.0,29317.0
web_sales,ws_sales_price,0.0,299.94
web_sales,ws_list_price,1.0,300.0
web_sales,ws_promo_sk,1.0,500.0
web_sales,ws_ext_sales_price,0.0,28727.0
web_sales,ws_item_sk,1.0,102000.0
web_sales,ws_ext_wholesale_cost,1.0,10000.0
web_sales,ws_sold_date_sk,2450816.0,2452642.0
web_sales,ws_ext_list_price,1.08,29970.0
web_sales,ws_ext_ship_cost,0.0,14570.0
web_sales,ws_coupon_amt,0.0,27160.5
web_sales,ws_ext_tax,0.0,2527.94
web_sales,ws_ship_date_sk,2450817.0,2452762.0
web_sales,ws_sold_time_sk,0.0,86398.0
web_sales,ws_net_paid_inc_tax,0.0,30821.43
web_sales,ws_order_number,1.0,600000.0
web_sales,ws_net_paid,0.0,28727.0
web_sales,ws_ship_hdemo_sk,1.0,7200.0
web_sales,ws_bill_cdemo_sk,3.0,1920800.0
web_sales,ws_net_paid_inc_ship,0.0,41734.0
web_sales,ws_net_paid_inc_ship_tax,0.0,43505.15
web_sales,ws_ship_cdemo_sk,3.0,1920799.0
web_sales,ws_net_profit,-9981.0,18890.0
web_sales,ws_bill_customer_sk,2.0,499998.0
web_sales,ws_ship_customer_sk,4.0,500000.0
web_sales,ws_bill_addr_sk,1.0,250000.0
web_sales,ws_bill_hdemo_sk,1.0,7200.0
web_sales,ws_ship_addr_sk,1.0,250000.0
household_demographics,hd_demo_sk,1,7200
household_demographics,hd_income_band_sk,1,20
household_demographics,hd_buy_potential,NA,NA
household_demographics,hd_dep_count,0,9
household_demographics,hd_vehicle_count,-1,4
ship_mode,sm_ship_mode_sk,1,20
ship_mode,sm_ship_mode_id,NA,NA
ship_mode,sm_type,NA,NA
ship_mode,sm_code,NA,NA
ship_mode,sm_carrier,NA,NA
ship_mode,sm_contract,NA,NA
customer_demographics,cd_demo_sk,1,1920800
customer_demographics,cd_credit_rating,NA,NA
customer_demographics,cd_dep_count,0,6
customer_demographics,cd_purchase_estimate,500,10000
customer_demographics,cd_dep_employed_count,0,6
customer_demographics,cd_dep_college_count,0,6
customer_demographics,cd_gender,NA,NA
customer_demographics,cd_marital_status,NA,NA
customer_demographics,cd_education_status,NA,NA
promotion,p_promo_sk,1,500
promotion,p_promo_id,NA,NA
promotion,p_start_date_sk,2450100,2450913
promotion,p_end_date_sk,2450132,2450962
promotion,p_item_sk,7,101990
promotion,p_cost,1000.00,1000.00
promotion,p_response_target,1,1
promotion,p_promo_name,NA,NA
promotion,p_channel_dmail,NA,NA
promotion,p_channel_email,NA,NA
promotion,p_channel_catalog,NA,NA
promotion,p_channel_tv,NA,NA
promotion,p_channel_radio,NA,NA
promotion,p_channel_press,NA,NA
promotion,p_channel_event,NA,NA
promotion,p_channel_demo,NA,NA
promotion,p_channel_details,NA,NA
promotion,p_purpose,NA,NA
promotion,p_discount_active,NA,NA
store_sales,ss_store_sk,1.0,100.0
store_sales,ss_promo_sk,1.0,500.0
store_sales,ss_quantity,1.0,100.0
store_sales,ss_sold_date_sk,2450816.0,2452642.0
store_sales,ss_wholesale_cost,1.0,100.0
store_sales,ss_ext_discount_amt,0.0,18092.44
store_sales,ss_sales_price,0.0,200.0
store_sales,ss_list_price,1.0,200.0
store_sales,ss_addr_sk,1.0,250000.0
store_sales,ss_hdemo_sk,1.0,7200.0
store_sales,ss_ext_sales_price,0.0,19562.4
store_sales,ss_customer_sk,1.0,500000.0
store_sales,ss_ext_list_price,1.04,19998.0
store_sales,ss_ext_tax,0.0,1749.87
store_sales,ss_ext_wholesale_cost,1.0,10000.0
store_sales,ss_coupon_amt,0.0,18092.44
store_sales,ss_item_sk,1.0,102000.0
store_sales,ss_cdemo_sk,1.0,1920800.0
store_sales,ss_ticket_number,1.0,2400000.0
store_sales,ss_net_paid,0.0,19562.4
store_sales,ss_sold_time_sk,28800.0,75599.0
store_sales,ss_net_paid_inc_tax,0.0,21192.87
store_sales,ss_net_profit,-9993.0,9776.48
time_dim,t_time_sk,0,86399
time_dim,t_meal_time,NA,NA
time_dim,t_sub_shift,NA,NA
time_dim,t_minute,0,59
time_dim,t_time,0,86399
time_dim,t_hour,0,23
time_dim,t_second,0,59
time_dim,t_time_id,NA,NA
time_dim,t_am_pm,NA,NA
time_dim,t_shift,NA,NA
catalog_page,cp_end_date_sk,2450844,2453186
catalog_page,cp_start_date_sk,2450815,2453005
catalog_page,cp_catalog_page_sk,1,12000
catalog_page,cp_type,NA,NA
catalog_page,cp_description,NA,NA
catalog_page,cp_department,NA,NA
catalog_page,cp_catalog_page_id,NA,NA
catalog_page,cp_catalog_page_number,1,111
catalog_page,cp_catalog_number,1,109
store_returns,sr_reason_sk,1.0,45.0
store_returns,sr_store_sk,1.0,100.0
store_returns,sr_return_time_sk,28799.0,61199.0
store_returns,sr_return_quantity,1.0,100.0
store_returns,sr_hdemo_sk,1.0,7200.0
store_returns,sr_fee,0.5,100.0
store_returns,sr_return_amt_inc_tax,0.0,19097.27
store_returns,sr_return_tax,0.0,1576.83
store_returns,sr_return_amt,0.0,18011.34
store_returns,sr_returned_date_sk,2450820.0,2452822.0
store_returns,sr_item_sk,1.0,102000.0
store_returns,sr_return_ship_cost,0.0,8885.25
store_returns,sr_addr_sk,1.0,250000.0
store_returns,sr_ticket_number,1.0,2400000.0
store_returns,sr_store_credit,0.0,13098.29
store_returns,sr_net_loss,0.5,9892.39
store_returns,sr_reversed_charge,0.0,14221.17
store_returns,sr_refunded_cash,0.0,17556.95
store_returns,sr_customer_sk,1.0,500000.0
store_returns,sr_cdemo_sk,1.0,1920800.0
income_band,ib_income_band_sk,1,20
income_band,ib_lower_bound,0,190001
income_band,ib_upper_bound,10000,200000
customer_address,ca_address_sk,1,250000
customer_address,ca_country,NA,NA
customer_address,ca_street_type,NA,NA
customer_address,ca_street_number,1,999
customer_address,ca_address_id,NA,NA
customer_address,ca_suite_number,NA,NA
customer_address,ca_gmt_offset,-10.00,-5.00
customer_address,ca_county,NA,NA
customer_address,ca_location_type,NA,NA
customer_address,ca_zip,00601,99981
customer_address,ca_state,NA,NA
customer_address,ca_street_name,NA,NA
customer_address,ca_city,NA,NA
store,s_store_sk,1,102
store,s_store_id,NA,NA
store,s_rec_start_date,NA,NA
store,s_rec_end_date,NA,NA
store,s_closed_date_sk,2450833,2451288
store,s_store_name,NA,NA
store,s_number_employees,200,299
store,s_floor_space,5093780,9810608
store,s_hours,NA,NA
store,s_manager,NA,NA
store,s_market_id,1,10
store,s_geography_class,NA,NA
store,s_market_desc,NA,NA
store,s_market_manager,NA,NA
store,s_division_id,1,1
store,s_division_name,NA,NA
store,s_company_id,1,1
store,s_company_name,NA,NA
store,s_street_number,100,903
store,s_street_name,NA,NA
store,s_street_type,NA,NA
store,s_suite_number,NA,NA
store,s_city,NA,NA
store,s_county,NA,NA
store,s_state,NA,NA
store,s_zip,31904,59231
store,s_country,NA,NA
store,s_gmt_offset,-6.00,-5.00
store,s_tax_precentage,0.00,0.11
inventory,inv_date_sk,2450815,2452635
inventory,inv_item_sk,1,102000
inventory,inv_warehouse_sk,1,10
inventory,inv_quantity_on_hand,0,1000
catalog_sales,cs_warehouse_sk,1.0,10.0
catalog_sales,cs_ship_mode_sk,1.0,20.0
catalog_sales,cs_call_center_sk,1.0,24.0
catalog_sales,cs_quantity,1.0,100.0
catalog_sales,cs_promo_sk,1.0,500.0
catalog_sales,cs_list_price,1.0,300.0
catalog_sales,cs_ext_discount_amt,0.0,29504.0
catalog_sales,cs_sales_price,0.0,299.67
catalog_sales,cs_ext_sales_price,0.0,29394.0
catalog_sales,cs_wholesale_cost,1.0,100.0
catalog_sales,cs_sold_date_sk,2450815.0,2452653.0
catalog_sales,cs_ship_date_sk,2450817.0,2452743.0
catalog_sales,cs_ext_wholesale_cost,1.0,10000.0
catalog_sales,cs_item_sk,1.0,102000.0
catalog_sales,cs_coupon_amt,0.0,26538.0
catalog_sales,cs_ext_ship_cost,0.0,14667.84
catalog_sales,cs_net_paid,0.0,29394.0
catalog_sales,cs_ext_tax,0.0,2517.29
catalog_sales,cs_ext_list_price,1.0,29976.0
catalog_sales,cs_bill_addr_sk,1.0,250000.0
catalog_sales,cs_bill_cdemo_sk,2.0,1920800.0
catalog_sales,cs_order_number,1.0,1600000.0
catalog_sales,cs_ship_addr_sk,1.0,250000.0
catalog_sales,cs_ship_cdemo_sk,2.0,1920800.0
catalog_sales,cs_net_paid_inc_ship,0.0,43051.0
catalog_sales,cs_net_paid_inc_tax,0.0,31745.52
catalog_sales,cs_ship_customer_sk,1.0,500000.0
catalog_sales,cs_catalog_page_sk,1.0,10101.0
catalog_sales,cs_bill_hdemo_sk,1.0,7200.0
catalog_sales,cs_ship_hdemo_sk,1.0,7200.0
catalog_sales,cs_net_paid_inc_ship_tax,0.0,45402.52
catalog_sales,cs_bill_customer_sk,1.0,500000.0
catalog_sales,cs_net_profit,-9997.0,19404.0
catalog_sales,cs_sold_time_sk,0.0,86399.0
web_site,web_site_sk,1,42
web_site,web_site_id,NA,NA
web_site,web_rec_start_date,NA,NA
web_site,web_rec_end_date,NA,NA
web_site,web_name,NA,NA
web_site,web_open_date_sk,2450475,2450807
web_site,web_close_date_sk,2445017,2448043
web_site,web_class,NA,NA
web_site,web_manager,NA,NA
web_site,web_mkt_id,1,6
web_site,web_mkt_class,NA,NA
web_site,web_mkt_desc,NA,NA
web_site,web_market_manager,NA,NA
web_site,web_company_id,1,6
web_site,web_company_name,NA,NA
web_site,web_street_number,184,973
web_site,web_street_name,NA,NA
web_site,web_street_type,NA,NA
web_site,web_suite_number,NA,NA
web_site,web_city,NA,NA
web_site,web_county,NA,NA
web_site,web_state,NA,NA
web_site,web_zip,31904,58370
web_site,web_country,NA,NA
web_site,web_gmt_offset,-6.00,-5.00
web_site,web_tax_percentage,0.00,0.12
catalog_returns,cr_warehouse_sk,1.0,10.0
catalog_returns,cr_ship_mode_sk,1.0,20.0
catalog_returns,cr_call_center_sk,1.0,24.0
catalog_returns,cr_return_quantity,1.0,100.0
catalog_returns,cr_reason_sk,1.0,45.0
catalog_returns,cr_return_amt_inc_tax,0.0,27487.05
catalog_returns,cr_return_tax,0.0,2208.59
catalog_returns,cr_return_amount,0.0,25937.42
catalog_returns,cr_returning_hdemo_sk,1.0,7200.0
catalog_returns,cr_fee,0.5,100.0
catalog_returns,cr_refunded_hdemo_sk,1.0,7200.0
catalog_returns,cr_catalog_page_sk,1.0,10101.0
catalog_returns,cr_return_ship_cost,0.0,13077.7
catalog_returns,cr_returned_date_sk,2450821.0,2452922.0
catalog_returns,cr_order_number,2.0,1599998.0
catalog_returns,cr_refunded_cash,0.0,22110.68
catalog_returns,cr_reversed_charge,0.0,20390.94
catalog_returns,cr_store_credit,0.0,19492.01
catalog_returns,cr_returned_time_sk,0.0,86399.0
catalog_returns,cr_returning_customer_sk,1.0,500000.0
catalog_returns,cr_net_loss,0.54,13502.75
catalog_returns,cr_refunded_customer_sk,1.0,500000.0
catalog_returns,cr_refunded_cdemo_sk,2.0,1920797.0
catalog_returns,cr_returning_cdemo_sk,1.0,1920796.0
catalog_returns,cr_returning_addr_sk,1.0,250000.0
catalog_returns,cr_item_sk,1.0,102000.0
catalog_returns,cr_refunded_addr_sk,1.0,250000.0
warehouse,w_warehouse_sk,1,10
warehouse,w_warehouse_id,NA,NA
warehouse,w_warehouse_name,NA,NA
warehouse,w_warehouse_sq_ft,73065,977787
warehouse,w_street_number,269,957
warehouse,w_street_name,NA,NA
warehouse,w_street_type,NA,NA
warehouse,w_suite_number,NA,NA
warehouse,w_city,NA,NA
warehouse,w_county,NA,NA
warehouse,w_state,NA,NA
warehouse,w_zip,35709,59231
warehouse,w_country,NA,NA
warehouse,w_gmt_offset,-6.00,-6.00
web_page,wp_web_page_sk,1,200
web_page,wp_web_page_id,NA,NA
web_page,wp_rec_start_date,NA,NA
web_page,wp_rec_end_date,NA,NA
web_page,wp_creation_date_sk,2450798,2450815
web_page,wp_access_date_sk,2452548,2452648
web_page,wp_autogen_flag,NA,NA
web_page,wp_customer_sk,15150,492078
web_page,wp_url,NA,NA
web_page,wp_type,NA,NA
web_page,wp_char_count,508,7046
web_page,wp_link_count,2,25
web_page,wp_image_count,1,7
web_page,wp_max_ad_count,0,4
customer,c_current_hdemo_sk,1,7200
customer,c_first_sales_date_sk,2448998,2452648
customer,c_first_shipto_date_sk,2449028,2452678
customer,c_current_addr_sk,1,250000
customer,c_customer_id,NA,NA
customer,c_birth_year,1924,1992
customer,c_birth_day,1,31
customer,c_last_review_date_sk,2452283,2452648
customer,c_birth_month,1,12
customer,c_current_cdemo_sk,4,1920791
customer,c_preferred_cust_flag,NA,NA
customer,c_salutation,NA,NA
customer,c_login,,
customer,c_first_name,NA,NA
customer,c_last_name,NA,NA
customer,c_customer_sk,1,500000
customer,c_birth_country,NA,NA
customer,c_email_address,NA,NA
reason,r_reason_sk,1,45
reason,r_reason_id,NA,NA
reason,r_reason_desc,NA,NA
